X,FILENAME,CONSTITUENCY.NUMBER,POLLING.STATION.NUMBER,STREAM.NUMBER,FIRST.PAGE,DOES.THE.FORM.HAVE.A.SERIAL.NUMBER.,DOES.THE.FORM.HAVE.A.QR.CODE.,DO.THE.CONSTITUENCY..POLLING.STATION..AND.STREAM.DETAILS.IN.THE.FORM.MATCH.THE.ONES.LISTED.ON.THIS.SPREADSHEET.,DO.THE.VOTE.TALLIES.SHOW.ANY.SIGN.OF.CROSSING.OUT.OR.EDITING.,IS.THE.PRESIDING.OFFICER.SIGNATURE.PRESENT.,IS.THE.FIRST.PAGE.STAMPED,SECOND.PAGE,IS.THE.DEPUTY.PRESIDING.OFFICER.SIGNITURE.PRESENT.,ARE.THE.PRESIDING.AND.DEPUTY.PRESIDING.OFFICER.SIGNATURES.DIFFERENT.,IS.THERE.AT.LEAST.ONE.CANDIDATE.CANDIDATE.AGENT.LISTED.,IS.THERE.AT.LEAST.ONE.SIGNITURE.OF.A.CANDIDATE.CANDIDATE.AGENT.,FOR.EACH.LISTED.CANDIDATE.CANDIDATE.AGENT..IS.THERE.A.SIGNATURE.,DO.THE.CANDIDATE.CANDIDATE.AGENT.SIGNATURES.APPEAR.DIFFERENT.,IS.ANYTHING.WRITTEN.IN.THE..REASONS.FOR.REFUSAL.TO.SIGN..COLUMN.,IS.THE.SECOND.PAGE.STAMPED.,DID.THE.PRESIDING.OFFICER.GIVE.ANY.COMMENT.,IS.THE.SECOND.PAGE.MISSING.,DID.THE.DOCUMENT.SCAN.CORRECTLY.,TALLIES.EDITED,EDITED.RESULTS
Final,001-006-0028-026-1.pdf,6,26,1,NA,1,1,1,0,1,1,NA,1,1,1,1,1,1,0,0,1,0,1,0,0
Final,001-006-0028-032-1.pdf,6,32,1,NA,1,1,1,1,1,1,NA,1,1,1,1,1,1,1,0,0,0,1,0,1
Final,001-006-0029-035-1.pdf,6,35,1,NA,1,1,1,0,1,1,NA,1,1,1,1,1,1,0,0,0,0,1,0,0
Final,001-006-0029-041-1.pdf,6,41,1,NA,1,1,1,1,1,1,NA,1,1,1,1,1,1,0,0,0,0,1,0,1
Final,001-006-0029-044-1.pdf,6,44,1,NA,1,0,1,1,1,1,NA,1,1,1,0,0,0,0,1,1,0,1,1,1
Final,001-006-0030-050-2.pdf,6,50,2,NA,1,1,1,1,1,1,NA,1,1,1,1,1,1,0,0,0,0,1,0,1
Final,002-007-0031-006-1.pdf,7,6,1,NA,1,1,1,1,1,1,NA,1,1,1,1,1,1,0,1,0,0,1,0,1
Final,002-007-0031-010-2.pdf,7,10,2,NA,1,1,1,1,1,1,NA,1,1,1,1,1,1,0,0,0,0,1,0,1
Final,002-007-0031-013-1.pdf,7,13,1,NA,1,1,1,0,1,1,NA,1,1,1,1,1,1,0,1,1,0,1,0,0
Final,002-007-0032-016-1.pdf,7,16,1,NA,1,1,1,1,1,1,NA,1,1,1,1,1,1,0,0,0,0,1,0,1
Final,002-007-0032-018-3.pdf,7,18,3,NA,1,1,1,1,1,1,NA,1,1,1,1,1,1,0,0,0,0,1,0,1
Final,002-007-0033-025-1.pdf,7,25,1,NA,1,1,1,0,1,1,NA,1,1,1,1,1,1,0,0,1,0,1,0,0
Final,002-007-0033-026-1.pdf,7,26,1,NA,1,1,1,1,1,1,NA,1,1,1,1,1,1,0,0,1,0,1,0,1
Final,002-007-0034-038-1.pdf,7,38,1,NA,1,1,1,0,1,0,NA,1,1,1,1,1,1,0,0,1,0,1,0,0
Final,002-007-0034-041-1.pdf,7,41,1,NA,1,1,1,0,1,1,NA,1,1,1,1,1,1,0,0,1,0,1,0,0
Final,002-007-0034-053-1.pdf,7,53,1,NA,1,1,1,1,1,1,NA,1,1,1,1,1,1,0,0,0,0,1,0,1
Final,002-008-0035-001-2.pdf,8,1,2,NA,1,1,1,0,0,1,NA,1,1,1,1,1,1,0,0,0,0,1,0,0
Final,002-008-0035-004-1.pdf,8,4,1,NA,1,1,1,1,1,1,NA,1,1,1,1,1,1,0,0,1,0,1,0,1
Final,002-008-0035-023-1.pdf,8,23,1,NA,1,1,1,0,1,1,NA,1,1,1,1,1,1,0,0,1,0,1,0,0
Final,002-008-0036-030-1.pdf,8,30,1,NA,1,1,1,1,1,1,NA,1,1,1,1,1,1,0,0,0,0,1,0,1
Final,002-008-0036-038-1.pdf,8,38,1,NA,1,1,1,0,1,0,NA,1,1,1,1,1,1,0,0,1,0,1,0,0
Final,002-008-0037-043-1.pdf,8,43,1,NA,1,1,1,0,1,1,NA,1,1,1,1,1,1,0,0,1,0,1,0,0
Final,002-008-0037-058-1.pdf,8,58,1,NA,1,1,1,1,1,1,NA,1,1,1,1,1,1,0,0,1,0,1,1,1
Final,002-008-0038-070-1.pdf,8,70,1,NA,1,1,1,0,1,1,NA,1,1,1,1,1,1,0,0,1,0,1,0,0
Final,002-008-0038-079-1.pdf,8,79,1,NA,1,1,1,0,1,1,NA,1,1,1,1,0,1,0,0,0,0,1,0,0
Final,002-009-0039-016-1.pdf,9,16,1,NA,1,1,1,1,1,0,NA,1,1,1,1,1,1,0,0,0,0,1,0,1
Final,002-009-0039-023-4.pdf,9,23,4,NA,1,1,1,1,1,1,NA,1,1,1,1,1,1,0,0,0,0,1,0,1
Final,002-009-0040-035-1.pdf,9,35,1,NA,1,1,1,1,1,0,NA,1,1,1,1,1,1,0,0,0,0,1,0,1
Final,002-009-0040-039-1.pdf,9,39,1,NA,1,1,1,0,1,1,NA,1,1,1,1,1,1,0,0,1,0,1,0,0
Final,002-009-0042-065-1.pdf,9,65,1,NA,1,1,1,0,1,0,NA,1,1,1,1,1,1,0,0,0,0,1,0,0
Final,002-009-0043-082-1.pdf,9,82,1,NA,1,1,1,0,1,1,NA,1,1,1,1,0,1,0,1,1,0,1,0,0
Final,002-009-0043-086-1.pdf,9,86,1,NA,1,1,1,0,1,0,NA,1,1,1,1,1,1,0,0,1,0,1,0,0
Final,002-009-0043-097-1.pdf,9,97,1,NA,1,1,1,1,1,1,NA,1,1,1,1,1,1,0,1,0,0,1,1,1
Final,002-009-0043-100-1.pdf,9,100,1,NA,1,1,1,0,1,1,NA,1,1,1,1,0,1,0,0,1,0,1,0,0
Final,002-010-0044-003-1.pdf,10,3,1,NA,1,1,1,0,1,1,NA,1,1,1,1,0,1,0,0,1,0,1,0,0
Final,002-010-0046-058-1.pdf,10,58,1,NA,1,1,1,0,1,1,NA,1,1,1,1,1,1,0,0,0,0,1,0,0
Final,002-010-0046-065-1.pdf,10,65,1,NA,1,1,1,0,1,1,NA,0,1,0,0,0,0,0,1,1,0,1,0,0
Final,002-010-0046-068-1.pdf,10,68,1,NA,1,1,1,0,1,1,NA,1,1,1,1,1,1,0,0,1,0,1,0,0
Final,002-010-0047-082-1.pdf,10,82,1,NA,1,1,1,0,1,1,NA,0,0,0,0,0,0,0,0,1,0,1,0,0
Final,002-010-0049-140-2.pdf,10,140,2,NA,1,1,0,0,0,1,NA,1,1,1,1,1,1,0,0,1,0,1,0,0
Final,002-010-0049-141-1.pdf,10,141,1,NA,1,1,1,1,1,1,NA,1,1,1,1,1,1,0,1,1,0,1,0,1
Final,002-010-0050-151-1.pdf,10,151,1,NA,1,1,1,0,1,1,NA,1,1,1,1,1,1,0,1,1,0,1,0,0
Final,003-011-0051-010-1.pdf,11,10,1,NA,1,1,1,0,1,1,NA,1,1,1,1,1,1,0,1,1,0,1,0,0
Final,003-011-0052-012-6.pdf,11,12,6,NA,1,1,1,1,1,1,NA,1,1,1,1,1,1,0,1,0,0,1,0,1
Final,003-011-0052-013-2.pdf,11,13,2,NA,1,1,1,1,1,1,NA,1,1,1,1,0,1,0,1,1,0,1,0,1
Final,003-011-0052-014-5.pdf,11,14,5,NA,1,1,1,0,1,1,NA,1,1,1,1,1,1,0,0,1,0,1,0,0
Final,003-011-0053-018-1.pdf,11,18,1,NA,1,1,1,0,1,1,NA,1,1,1,1,1,1,0,0,0,0,1,0,0
Final,003-011-0053-024-1.pdf,11,24,1,NA,1,1,1,0,1,1,NA,1,1,1,1,1,1,0,0,1,0,1,0,0
Final,003-011-0053-027-1.pdf,11,27,1,NA,1,1,1,1,1,1,NA,1,1,1,1,1,1,0,0,1,0,1,0,1
Final,003-011-0053-030-1.pdf,11,30,1,NA,1,1,1,1,1,1,NA,1,1,1,1,1,1,0,0,0,0,1,0,1
Final,003-011-0054-031-1.pdf,11,31,1,NA,1,1,1,1,1,1,NA,1,1,0,0,0,0,0,1,1,0,1,1,1
Final,003-011-0054-039-1.pdf,11,39,1,NA,1,1,1,0,1,1,NA,1,1,1,1,1,1,0,0,0,0,1,1,1
Final,003-011-0054-039-2.pdf,11,39,2,NA,1,1,1,0,1,1,NA,1,1,1,1,1,1,0,1,0,0,1,0,0
Final,003-011-0055-042-1.pdf,11,42,1,NA,1,1,1,0,1,1,NA,1,1,1,1,1,1,0,0,0,0,1,0,0
Final,003-011-0055-051-2.pdf,11,51,2,NA,1,1,1,0,1,1,NA,1,1,1,1,1,1,0,1,1,0,1,0,0
Final,003-011-0056-056-1.pdf,11,56,1,NA,1,1,1,0,1,1,NA,1,1,1,1,1,1,0,0,0,0,1,0,0
Final,003-011-0056-057-1.pdf,11,57,1,NA,1,1,1,1,1,1,NA,1,1,1,1,1,1,0,0,1,0,1,0,1
Final,003-011-0056-065-1.pdf,11,65,1,NA,1,1,1,0,1,1,NA,1,1,1,1,1,1,0,0,0,0,1,0,0
Final,003-011-0057-068-2.pdf,11,68,2,NA,1,1,1,0,1,1,NA,1,1,1,1,1,1,0,1,1,0,1,0,0
Final,003-011-0057-080-1.pdf,11,80,1,NA,1,1,1,1,1,1,NA,1,1,1,1,1,1,0,0,0,0,1,1,1
Final,003-012-0058-001-2.pdf,12,1,2,NA,1,1,1,0,1,1,NA,1,1,1,1,1,1,0,1,1,0,1,0,0
Final,003-012-0058-005-2.pdf,12,5,2,NA,1,1,1,0,1,1,NA,1,1,1,1,1,1,0,1,1,0,1,0,0
Final,003-012-0058-012-1.pdf,12,12,1,NA,1,1,1,1,1,1,NA,1,1,1,1,1,1,0,0,1,0,1,0,1
Final,003-012-0059-018-2.pdf,12,18,2,NA,1,1,1,0,1,1,NA,1,1,1,1,1,1,0,1,1,0,1,0,0
Final,003-012-0059-024-1.pdf,12,24,1,NA,1,1,1,1,1,1,NA,1,1,1,1,1,1,0,0,1,0,1,0,1
Final,003-012-0060-028-10.pdf,12,28,10,NA,1,1,1,0,1,1,NA,1,1,1,1,1,1,0,0,1,0,1,0,0
Final,003-012-0060-028-8.pdf,12,28,8,NA,1,1,1,1,1,1,NA,1,1,0,0,0,0,0,0,1,0,1,1,1
Final,003-012-0061-033-1.pdf,12,33,1,NA,1,1,1,0,1,1,NA,1,1,1,1,1,1,0,0,1,0,1,0,0
Final,003-012-0062-046-1.pdf,12,46,1,NA,1,1,1,0,1,1,NA,1,1,1,1,1,1,0,0,1,0,1,0,0
Final,003-012-0062-047-2.pdf,12,47,2,NA,1,1,1,1,1,1,NA,1,1,1,1,1,1,0,1,1,0,1,0,1
Final,003-012-0062-050-5.pdf,12,50,5,NA,1,1,1,0,1,1,NA,1,1,0,0,0,0,1,0,1,0,1,0,0
Final,003-012-0062-051-2.pdf,12,51,2,NA,1,1,1,0,1,1,NA,1,1,1,1,1,1,0,1,1,0,1,0,0
Final,003-012-0062-052-2.pdf,12,52,2,NA,1,1,1,0,1,1,NA,1,1,1,1,1,1,0,0,1,0,1,0,0
Final,003-012-0062-054-1.pdf,12,54,1,NA,1,1,1,0,1,1,NA,1,1,1,1,0,1,0,0,1,0,1,0,0
Final,003-013-0063-004-2.pdf,13,4,2,NA,1,1,1,0,1,1,NA,1,1,1,1,1,1,0,0,1,0,1,0,0
Final,003-013-0063-005-1.pdf,13,5,1,NA,1,1,1,0,1,1,NA,1,1,1,1,1,1,0,0,0,0,1,0,0
Final,003-013-0063-005-7.pdf,13,5,7,NA,1,1,1,0,1,1,NA,1,1,1,1,1,1,0,0,1,0,1,0,0
Final,003-013-0063-012-1.pdf,13,12,1,NA,1,1,1,1,1,1,NA,1,1,1,1,1,1,0,0,0,0,1,0,1
Final,003-013-0064-022-1.pdf,13,22,1,NA,1,1,1,0,1,1,NA,1,1,1,1,1,1,0,0,1,0,1,0,0
Final,003-013-0064-033-1.pdf,13,33,1,NA,1,1,1,0,1,1,NA,1,1,1,1,1,1,0,1,1,0,1,0,0
Final,003-013-0065-039-1.pdf,13,39,1,NA,1,1,1,1,1,1,NA,1,1,1,1,1,1,0,1,1,0,1,0,1
Final,003-013-0065-042-1.pdf,13,42,1,NA,1,1,1,1,1,1,NA,1,1,1,1,1,1,0,0,1,0,1,0,1
Final,003-013-0066-067-1.pdf,13,67,1,NA,1,1,1,1,1,1,NA,1,1,1,1,1,1,0,0,1,0,1,0,1
Final,003-014-0069-026-1.pdf,14,26,1,NA,1,1,1,0,1,1,NA,1,1,1,1,1,1,0,1,1,0,1,0,0
Final,003-014-0069-030-1.pdf,14,30,1,NA,1,1,1,0,1,1,NA,1,1,1,1,1,1,0,1,1,0,1,1,1
Final,003-014-0070-031-1.pdf,14,31,1,NA,1,1,1,1,1,1,NA,1,1,1,1,1,1,0,1,1,0,1,1,1
Final,003-014-0070-042-1.pdf,14,42,1,NA,1,1,1,1,1,0,NA,0,0,0,0,0,0,0,0,0,0,1,0,1
Final,003-014-0070-048-1.pdf,14,48,1,NA,1,1,1,0,1,1,NA,1,1,1,1,1,1,0,1,0,0,1,0,0
Final,003-015-0071-023-1.pdf,15,23,1,NA,1,1,1,0,1,1,NA,1,1,1,0,0,0,1,0,1,0,1,0,0
Final,003-015-0072-043-1.pdf,15,43,1,NA,1,1,1,1,1,1,NA,1,1,1,1,1,1,0,1,1,0,1,1,1
Final,003-015-0073-064-1.pdf,15,64,1,NA,1,1,1,0,1,1,NA,1,1,1,1,1,1,0,0,1,0,1,0,0
Final,003-015-0073-069-1.pdf,15,69,1,NA,1,1,1,0,1,1,NA,1,1,1,1,1,1,0,0,1,0,1,0,0
Final,003-016-0075-005-1.pdf,16,5,1,NA,1,1,1,0,1,1,NA,1,1,1,1,1,1,0,1,1,0,1,0,0
Final,003-016-0075-007-1.pdf,16,7,1,NA,1,1,1,0,1,1,NA,1,1,1,1,1,1,0,0,1,0,1,0,0
Final,003-016-0075-011-1.pdf,16,11,1,NA,1,1,1,0,1,1,NA,1,1,1,1,1,1,0,0,1,0,1,0,0
Final,003-016-0076-025-1.pdf,16,25,1,NA,1,1,1,0,1,1,NA,1,1,1,1,1,1,0,0,1,0,1,0,0
Final,003-016-0076-027-1.pdf,16,27,1,NA,1,1,1,0,1,1,NA,1,1,1,1,1,1,0,1,0,0,1,0,0
Final,003-016-0077-032-1.pdf,16,32,1,NA,1,1,1,0,1,1,NA,1,1,1,1,1,1,0,0,1,0,1,0,0
Final,003-016-0077-040-1.pdf,16,40,1,NA,1,1,1,0,1,1,NA,1,1,1,1,1,1,0,0,1,0,1,0,0
Final,003-016-0078-042-2.pdf,16,42,2,NA,1,1,1,0,1,1,NA,1,1,1,1,1,1,0,0,1,0,1,0,0
Final,003-016-0078-043-3.pdf,16,43,3,NA,1,1,1,1,1,1,NA,1,1,1,1,1,1,0,0,1,0,1,0,1
